Product,Online,Online Buzzwords,Desktop,Desktop Buzzwords,Enterprise,Enterprise Buzzwords,SDK,SDK Buzzwords,Data Management,Data Management Buzzwords,Implementation,Implementation Buzzwords,Professional Services,Professional Services Buzzwords,Support Method,Reference
ArcGIS Image Analyst,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Image Server,,,,,Enterprise - Ext,,,,,,Enterprise - Setup,,,,Support Services,
ArcGIS Indoors,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Infographics Add-In,,,Pro - Core,,,,,,,,,,,,Support Services,
ArcGIS Insights,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Living Atlas of the World,Online - Core,,,,Enterprise - Core,,,,,,,,,,Support Services,
ArcGIS LocateXT,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Maps for Adobe Creative Cloud,Online - Apps,,,,,,,,,,,,,,Support Services,
ArcGIS Maps for Office,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
ArcGIS Maps for Power BI,,,,,Enterprise - Ext,,,,,,,,,,Esri and Microsoft Support,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f2000000LDECAA4/view
ArcGIS Maps for SharePoint,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Mission,,,,,Enterprise - Ext,,,,,,Enterprise - Setup,,,,Support Services,
ArcGIS Monitor,,,,,Enterprise - Ext,,,,,,Enterprise - Setup,,,,Setup Support Only,https://s3.amazonaws.com/lms-content/Readiness/Enterprise_Apps/ArcGISMonitor/ArcGISMonitorProductSupportability_1061.pdf
ArcGIS Network Analyst,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Notebook Server,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Online,Online - Core,,,,,,,,,,Online - Setup,,,,Support Services,
ArcGIS Online (Esri Admin Workflows),Online - Admin,,,,,,,,,,,,,,Support Services,
ArcGIS Online (Service Disruptions),Online - Outage,,,,,,,,,,,,,,Support Services,
ArcGIS Open Data,Online - Apps,,,,,,,,,,,,,,Support Services,
ArcGIS Pipeline Referencing,,,Pro - Ext,,Enterprise - Ext,,,,Enterprise - Data,,,,,,Support and Professional Services,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f20000001GUVAA2/view
ArcGIS Pro,Online - Core,,Pro - Core,,Enterprise - Core,,,,Pro - Data,,Pro - Setup,,,,Support Services,
ArcGIS Publisher,,,Pro - Core,,,,,,,,,,,,Support Services,
ArcGIS QuickCapture,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
ArcGIS Runtime SDKs,,,,,,,SDK - Runtime,,,,,,,,Support Services,
ArcGIS Schematics,,,Pro - Ext,,Enterprise - Ext,,,,Enterprise - Data,,,,,,Support Services,
ArcGIS Spatial Analyst,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS StoryMaps,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
ArcGIS Tracking Analyst,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
ArcGIS Urban,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Utility Network Management,,,,,Enterprise - Ext,,,,Enterprise - Data,,,,,,Support Services,
ArcGIS Workflow Manager,,,,,,,,,Enterprise - Data,,,,,,Support Services,
ArcObjects,,,,,,,SDK - Native,,,,,,,,Support Services,
ArcPad,,,Pro - Ext,,,,,,,,,,,,Support Services,
ArcPy,,,Pro - Core,,Enterprise - Core,,,,Pro - Data,,,,,,Support Services,
ArcReader,,,Pro - Core,,,,,,,,,,,,Support Services,
Collector for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Configurable Apps,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Data and Location Services,Online - Apps,,,,,,,,,,,,,,Support Services,
Data Appliance for ArcGIS,,,,,Enterprise - Core,,,,,,,,,,Support Services,
Districting for ArcGIS,,,,,,,,,,,,,,,Product Team Support,districting@esri.com
Drone2Map for ArcGIS,,,Pro - Ext,,,,,,,,,,,,Support Services,
Esri CityEngine,,,Pro - Ext,,,,,,,,,,,,Support Services,
Esri Defense Mapping,,,,,,,,,,,,,Solutions - Products,,Support Services,
Esri Demographics,Online - Apps,,,,,,,,,,,,,,Support Services,
Esri Geoportal Server,,,,,,,,,,,,,Solutions - Products,,Product Team Support,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f20000001GUVAA2/view
Esri Managed Cloud Services,,,,,,,,,,,,,Managed Cloud Services,,Support Services,
Esri Production Mapping,,,Pro - Ext,,,,,,,,,,,,Support Services,
Esri Redistricting,,,,,,,,,,,,,,,Product Team Support,redistricting@esri.com
Esri Reports,,,,,,,,,,,,,,,Customer Service Support,demographics@esri.com
Esri Roads and Highways,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support and Professional Services,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f20000001GUVAA2/view
Esri S-57 Viewer,,,,,,,,,,,,,Solutions - Products,,Support Services,
Explorer for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
GeoCollector for ArcPad,,,Pro - Ext,,,,,,,,,,,,Support Services,
GeoPlanner for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Navigator for ArcGIS,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
Operations Dashboard for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Parcel Manager (Parcel Fabric),,,Pro - Ext,,Enterprise - Ext,,,,Enterprise - Data,,,,,,Support Services,
Pro SDK,,,,,,,SDK - Native,,,,,,,,Support Services,
R-ArcGIS Bridge,,,,,,,,,,,,,,,GeoNet Support,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka139000000oTd3AAE/view
StreetMap Premium for ArcGIS,,,Pro - Core,,,,,,,,,,,,Support Services,
Survey123 for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Tapestry Segmentation,Online - Core,,,,,,,,,,,,,,Support Services,
Tracker for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Web AppBuilder for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
Web AppBuilder for ArcGIS (Developer Edition),,,,,,,SDK - Web,,,,,,,,Support Services,
WMC Client for ArcGIS,,,,,,,,,,,,,,,GitHub Support,https://github.com/Esri/geoportal-server/wiki/WMC-Client
Workforce for ArcGIS,Online - Apps,,,,Enterprise - Apps,,,,,,,,,,Support Services,
World Geocoder for ArcGIS,Online - Core,,,,Enterprise - Core,,,,,,,,,,Support Services,
